从历史中走来	從歷史中走來
你不必担心	你不必擔心
你不必知道	你不必知道
你不快乐	你不快樂
你不怕	你不怕
你不怕吗	你不怕嗎
你不怕死	你不怕死
你不怕死啊	你不怕死啊
你不急	你不急
你不急啊	你不急啊
你不恨我	你不恨我
你不想	你不想
你不想做	你不想做
你不想吗	你不想嗎
你不想我	你不想我
你不想我吗	你不想我嗎
你不想活	你不想活
你不想活了	你不想活了
你不想碰我	你不想碰我
你不愿意	你不願意
你不懂	你不懂
你不懂事	你不懂事
你不懂得	你不懂得
你不懂我	你不懂我
你不懂爱	你不懂愛
你不懂的	你不懂的
你不成熟	你不成熟
你不承认	你不承認
你不接	你不接
你不接受	你不接受
你不搭理	你不搭理
你不搭理我	你不搭理我
你不擅长	你不擅長
你不支持	你不支持
你不支持吗	你不支持嗎
你不放	你不放
你不敢	你不敢
你不敢的	你不敢的
你不敢相信	你不敢相信
你不明白	你不明白
你不是	你不是
你不是一个人	你不是一個人
你不是不知道	你不是不知道
你不是个	你不是個
你不是人	你不是人
你不是人啊	你不是人啊
你不是他	你不是他
你不是别人	你不是別人
你不是单身	你不是單身
你不是吗	你不是嗎
你不是吧	你不是吧
你不是和	你不是和
你不是唯一	你不是唯一
你不是啊	你不是啊
你不是在	你不是在
你不是她	你不是她
你不是好人	你不是好人
你不是应该	你不是應該
你不是我	你不是我
你不是我的	你不是我的
你不是我的对手	你不是我的對手
你不是我的菜	你不是我的菜
你不是把	你不是把
你不是有	你不是有
你不是有吗	你不是有嗎
你不是有嘛	你不是有嘛
你不是本人	你不是本人
你不是犯人	你不是犯人
你不是男人	你不是男人
你不是白痴	你不是白痴
你不是真正的快乐	你不是真正的快樂
你不是知道	你不是知道
你不是知道吗	你不是知道嗎
你不是要	你不是要
你不是说	你不是說
你不是谁是	你不是誰是
你不是走了吗	你不是走了嗎
你不是这样的	你不是這樣的
你不晓得	你不曉得
你不有	你不有
你不服	你不服
你不服不行	你不服不行
你不来	你不來
你不正常	你不正常
你不注意	你不注意
你不清楚	你不清楚
你不清楚啊	你不清楚啊
你不满	你不滿
你不满意	你不滿意
你不漂亮	你不漂亮
你不熟	你不熟
你不熟悉	你不熟悉
你不爱	你不愛
你不爱了	你不愛了
你不爱他	你不愛他
你不爱我	你不愛我
你不爱我了	你不愛我了
你不牛逼	你不牛逼
你不牛逼吗	你不牛逼嗎
你不玩	你不玩
你不珍惜	你不珍惜
你不珍惜啊	你不珍惜啊
你不理	你不理
你不理他	你不理他
你不理我	你不理我
你不理我了	你不理我了
你不理解	你不理解
你不理财	你不理財
你不理财财不离你	你不理財財不離你
你不甘	你不甘
你不甘心	你不甘心
你不用	你不用
你不用上班吗	你不用上班嗎
你不用害怕	你不用害怕
你不用怕	你不用怕
你不用担心	你不用擔心
你不用知道	你不用知道
你不用管	你不用管
你不用管了	你不用管了
你不用解释	你不用解釋
你不疼	你不疼
你不疼的	你不疼的
你不的	你不的
你不相信	你不相信
你不相信吗	你不相信嗎
你不相信啊	你不相信啊
你不相信我	你不相信我
你不看	你不看
你不看看	你不看看
你不着急	你不著急
你不睡	你不睡
你不睡啊	你不睡啊
你不睡觉吗	你不睡覺嗎
你不知	你不知
你不知我知	你不知我知
你不知道	你不知道
你不知道么	你不知道麼
你不知道什么时候	你不知道什麼時候
你不知道吗	你不知道嗎
你不知道吧	你不知道吧
你不知道啊	你不知道啊
你不知道就别说	你不知道就別說
你不知道我是谁	你不知道我是誰
你不知道的	你不知道的
你不知道的事	你不知道的事
你不知道的事情	你不知道的事情
你不知道的冷知识	你不知道的冷知識
你不知道的是	你不知道的是
你不知道的秘密	你不知道的秘密
你不知道的那些事	你不知道的那些事
你不确定	你不確定
你不穿	你不穿
你不笑	你不笑
你不笨	你不笨
你不管	你不管
你不管了	你不管了
你不累	你不累
你不累吗	你不累嗎
你不累啊	你不累啊
你不累的	你不累的
你不红	你不紅
你不经意间	你不經意間
你不给我	你不給我
你不考试	你不考試
你不胖	你不胖
你不能	你不能
你不能不知道	你不能不知道
你不能做	你不能做
你不能停止	你不能停止
你不能去	你不能去
你不能去啊	你不能去啊
你不能吃	你不能吃
你不能否认	你不能否認
你不能够	你不能夠
你不能拒绝	你不能拒絕
你不能接受	你不能接受
你不能放弃	你不能放棄
你不能死	你不能死
你不能玩	你不能玩
你不能理解	你不能理解
你不能离开	你不能離開
你不能走	你不能走
你不能这样	你不能這樣
你不能这样对我	你不能這樣對我
你不能错过	你不能錯過
你不舒服	你不舒服
你不行	你不行
你不行啊	你不行啊
你不要	你不要
你不要了	你不要了
你不要以为	你不要以為
你不要做	你不要做
你不要再离开	你不要再離開
你不要再离开我	你不要再離開我
你不要再离开我了	你不要再離開我了
你不要动	你不要動
你不要后悔	你不要後悔
你不要哭	你不要哭
你不要多想	你不要多想
你不要太过分	你不要太過分
你不要害怕	你不要害怕
你不要忘	你不要忘
你不要忘记	你不要忘記
你不要怕	你不要怕
你不要想太多	你不要想太多
你不要我	你不要我
你不要我了	你不要我了
你不要我了吗	你不要我了嗎
你不要担心	你不要擔心
你不要来	你不要來
你不要死	你不要死
你不要生气	你不要生氣
你不要着急	你不要著急
你不要离开我	你不要離開我
你不要管	你不要管
你不要紧张	你不要緊張
你不要脸	你不要臉
你不要误会	你不要誤會
你不要说话	你不要說話
你不要走	你不要走
你不要过来	你不要過來
你不要过来呀	你不要過來呀
你不要过来啊	你不要過來啊
你不要这样	你不要這樣
你不要错过	你不要錯過
你不要难过	你不要難過
你不要骗我	你不要騙我
你不见	你不見
你不见了	你不見了
你不觉得	你不覺得
你不觉得吗	你不覺得嗎
你不认同	你不認同
你不认真	你不認真
你不认识	你不認識
你不认识吗	你不認識嗎
你不认识啊	你不認識啊
你不认识我	你不認識我
你不认识我了吗	你不認識我了嗎
你不认识我吗	你不認識我嗎
你不认识我啊	你不認識我啊
你不认识的	你不認識的
你不记得	你不記得
你不记得我	你不記得我
你不讲	你不講
你不讲武德	你不講武德
你不讲道理	你不講道理
你不许	你不許
你不该	你不該
你不该来	你不該來
你不说	你不說
你不说我也知道	你不說我也知道
你不说我怎么知道	你不說我怎麼知道
你不说话	你不說話
你不走	你不走
你不跟	你不跟
你不还	你不還
你不退	你不退
你不适合	你不適合
你不配	你不配
你不重视	你不重視
你不错	你不錯
你不问	你不問
你不难发现	你不難發現
你不需要我	你不需要我
你不需要知道	你不需要知道
你不靠谱	你不靠譜
你不高兴	你不高興
你与	你與
你与众不同	你與眾不同
你与我	你與我
你专业	你專業
你专属	你專屬
你专属的	你專屬的
你世居东海之滨	你世居東海之濱
你东我西	你東我西
你丢我捡	你丟我撿
你丢掉	你丟掉
你个	你個
你个人	你個人
你个傻子	你個傻子
你个傻屌	你個傻屌
你个傻逼	你個傻逼
你个垃圾	你個垃圾
你个大傻逼	你個大傻逼
你个大骗子	你個大騙子
你个头	你個頭
你个小兔崽子	你個小兔崽子
你个小屁孩	你個小屁孩
你个小逼	你個小逼
你个小逼崽子	你個小逼崽子
你个屌毛	你個屌毛
你个废物	你個廢物
你个懦夫	你個懦夫
你个智障	你個智障
你个棒槌	你個棒槌
你个棒槌啊	你個棒槌啊
你个浓眉大眼	你個濃眉大眼
你个浓眉大眼的	你個濃眉大眼的
你个混蛋	你個混蛋
你个狗逼	你個狗逼
你个猪	你個豬
你个王八蛋	你個王八蛋
你个笨蛋	你個笨蛋
你个老不死	你個老不死
你个老不死的	你個老不死的
你个老六	你個老六
你个菜狗	你個菜狗
你个菜逼	你個菜逼
你个贱人	你個賤人
你个逆子	你個逆子
你个骗子	你個騙子
你个鳖孙	你個鱉孫
你丫	你丫
你丫你丫	你丫你丫
你丫你丫的	你丫你丫的
你丫的	你丫的
你丫闭嘴	你丫閉嘴
你中了几条	你中了幾條
你中午	你中午
你中午吃什么	你中午吃什麼
你中国	你中國
你中意	你中意
你中招了吗	你中招了嗎
你中有我	你中有我
你中有我我中有你	你中有我我中有你
你中枪了吗	你中槍了嗎
你为	你為
你为了	你為了
你为了什么	你為了什麼
你为了谁	你為了誰
你为什么	你為什麼
你为什么不	你為什麼不
你为什么不敢	你為什麼不敢
你为什么不来	你為什麼不來
你为什么不说呢	你為什麼不說呢
你为什么不说啊	你為什麼不說啊
你为什么不说话	你為什麼不說話
你为什么单身	你為什麼單身
你为什么哭	你為什麼哭
你为什么喜欢我	你為什麼喜歡我
你为什么来	你為什麼來
你为什么来了	你為什麼來了
你为什么生气	你為什麼生氣
你为什么要	你為什麼要
你为什么要来	你為什麼要來
你为什么要骗我	你為什麼要騙我
你为什么这样说	你為什麼這樣說
你为何	你為何
你为刀俎	你為刀俎
你为啥	你為啥
你为我	你為我
你为我着迷	你為我著迷
你为鱼肉	你為魚肉
你主理	你主理
你举报	你舉報
你义无反顾	你義無反顧
你之前	你之前
你之前也	你之前也
你之前也在	你之前也在
你之外	你之外
你乐意	你樂意
你乐意吗	你樂意嗎
你也	你也
你也一样	你也一樣
你也一样啊	你也一樣啊
你也一起	你也一起
你也不	你也不
你也不会明白	你也不會明白
你也不会知道	你也不會知道
你也不再	你也不再
你也不去	你也不去
你也不回	你也不回
你也不容易	你也不容易
你也不差	你也不差
你也不想想	你也不想想
你也不懂	你也不懂
你也不敢	你也不敢
你也不是	你也不是
你也不是没蹦过	你也不是沒蹦過
你也不理我	你也不理我
你也不用担心	你也不用擔心
你也不看看	你也不看看
你也不知道	你也不知道
你也不管管	你也不管管
你也不行	你也不行
你也不要	你也不要
你也不认识	你也不認識
你也不赖	你也不賴
你也不过如此	你也不過如此
你也会	你也會
你也会发现	你也會發現
你也会喜欢	你也會喜歡
你也会来	你也會來
你也保重	你也保重
你也做	你也做
你也别	你也別
你也别去	你也別去
你也别去了	你也別去了
你也加油	你也加油
你也可以	你也可以
你也可以做到	你也可以做到
你也可以看到	你也可以看到
你也可以试试	你也可以試試
你也吃	你也吃
你也喜欢	你也喜歡
你也喜欢我	你也喜歡我
你也在	你也在
你也在呀	你也在呀
你也在啊	你也在啊
你也在看	你也在看
你也在这里	你也在這裡
你也在这里啊	你也在這裡啊
你也在那	你也在那
你也在那儿	你也在那兒
你也太	你也太
你也太那个啥	你也太那個啥
你也太那个啥了	你也太那個啥了
你也好	你也好
你也好啊	你也好啊
你也学会	你也學會
你也就	你也就
你也就是	你也就是
你也应该知道	你也應該知道
你也开吧	你也開吧
你也很好	你也很好
你也得	你也得
你也快乐	你也快樂
你也快了	你也快了
你也快睡吧	你也快睡吧
你也想	你也想
你也愿意	你也願意
你也懂	你也懂
你也敢	你也敢
你也早	你也早
你也早休息	你也早休息
你也早点	你也早點
你也早点休息	你也早點休息
你也早点休息吧	你也早點休息吧
你也早点睡	你也早點睡
你也早睡吧	你也早睡吧
你也明白	你也明白
你也是	你也是
你也是个	你也是個
你也是吗	你也是嗎
你也是吧	你也是吧
你也是呀	你也是呀
你也是哦	你也是哦
你也是啊	你也是啊
你也是来	你也是來
你也是的	你也是的
你也有	你也有
你也有今天	你也有今天
你也有份	你也有份
你也来	你也來
你也来了	你也來了
你也来了啊	你也來了啊
你也来吧	你也來吧
你也来试试	你也來試試
你也没	你也沒
你也没办法	你也沒辦法
你也没回	你也沒回
你也没有	你也沒有
你也没有办法	你也沒有辦法
你也没说	你也沒說
你也没说啊	你也沒說啊
你也注意	你也注意
你也玩	你也玩
你也相信	你也相信
你也看不到	你也看不到
你也知道	你也知道
你也知道啊	你也知道啊
你也知道我	你也知道我
你也管得着	你也管得著
你也能	你也能
你也能做到	你也能做到
你也行	你也行
你也要	你也要
你也要加油	你也要加油
你也要幸福	你也要幸福
你也要注意	你也要注意
你也要点睡	你也要點睡
你也要知道	你也要知道
你也许不知道	你也許不知道
你也许会发现	你也許會發現
你也许会问	你也許會問
你也试试	你也試試
你也说说	你也說說
你也辛苦	你也辛苦
你也这么	你也這麼
你也配	你也配
你也配姓赵	你也配姓趙
你买	你買
你买一个	你買一個
你买不买	你買不買
你买不到	你買不到
你买不起	你買不起
你买东西	你買東西
你买了什么	你買了什麼
你买了吗	你買了嗎
你买了谁	你買了誰
你买什么	你買什麼
你买单	你買單
你买吗	你買嗎
你买吧	你買吧
你买回来	你買回來
你买得起	你買得起
你买房	你買房
你买房子	你買房子
你买电脑	你買電腦
你买的谁	你買的誰
你买车	你買車
你乱哈拉	你亂哈拉
你乱哈拉什么	你亂哈拉什麼
你乱哈拉什么东西	你亂哈拉什麼東西
你乱哈拉什么东西啊	你亂哈拉什麼東西啊
你乱哈拉什么东西啊你	你亂哈拉什麼東西啊你
你乱讲	你亂講
你了	你了
你了吧	你了吧
你了哟	你了喲
你了解	你瞭解
你了解吗	你瞭解嗎
你了解多少	你瞭解多少
你争我夺	你爭我奪
你争我抢	你爭我搶
你争我斗	你爭我鬥
你争我赶	你爭我趕
你二	你二
你二叔	你二叔
你二大爷	你二大爺
你亏损	你虧損
你五一	你五一
你交	你交
你亲我一下	你親我一下
你亲戚	你親戚
你亲爹	你親爹
你亲爹的	你親爹的
你亲自	你親自
你人	你人
你人呢	你人呢
你人品	你人品
你人在哪	你人在哪
你人在哪里	你人在哪裡
你人好	你人好
你人很好	你人很好
你人真好	你人真好
你人那	你人那
你什么	你什麼
你什么事	你什麼事
你什么地位	你什麼地位
你什么学历	你什麼學歷
你什么工作	你什麼工作
你什么态度	你什麼態度
你什么情况	你什麼情況
你什么意思	你什麼意思
你什么意思呀	你什麼意思呀
你什么意思啊	你什麼意思啊
你什么感受	你什麼感受
你什么时	你什麼時
你什么时候	你什麼時候
你什么时候下	你什麼時候下
你什么时候下啊	你什麼時候下啊
你什么时候到	你什麼時候到
你什么时候去	你什麼時候去
你什么时候回去	你什麼時候回去
你什么时候回去啊	你什麼時候回去啊
你什么时候回家	你什麼時候回家
你什么时候回家啊	你什麼時候回家啊
你什么时候回来	你什麼時候回來
你什么时候回来啊	你什麼時候回來啊
你什么时候有时间	你什麼時候有時間
你什么时候有空	你什麼時候有空
你什么时候来	你什麼時候來
你什么时候来啊	你什麼時候來啊
你什么时候来的	你什麼時候來的
你什么时候来的啊	你什麼時候來的啊
你什么时候结婚	你什麼時候結婚
你什么时候走	你什麼時候走
你什么时候走啊	你什麼時候走啊
你什么星座	你什麼星座
你什么档次	你什麼檔次
你什么段位	你什麼段位
你什么气候	你什麼氣候
你什么职业	你什麼職業
你什么课	你什麼課
你什么身份	你什麼身份
你什么都不会	你什麼都不會
你什么都不做	你什麼都不做
你什么都不懂	你什麼都不懂
你什么都不知道	你什麼都不知道
你什么都可以	你什麼都可以
你什么都好	你什麼都好
你什么都懂	你什麼都懂
你什么都没做	你什麼都沒做
你今天	你今天
你今天不上班吗	你今天不上班嗎
你今天怎么了	你今天怎麼了
你今天晚上	你今天晚上
你今天没上班吗	你今天沒上班嗎
你今天真好看	你今天真好看
你今天真漂亮	你今天真漂亮
你今年几岁	你今年幾歲
你今年多大	你今年多大
你今年多大了	你今年多大了
你今晚	你今晚
你介不介意	你介不介意
你介意	你介意
你介意吗	你介意嗎
你从	你從
你从哪来	你從哪來
你从哪里来	你從哪裡來
你从小到大	你從小到大
你从未在此	你從未在此
你从来	你從來
你从来不知道	你從來不知道
你仔细	你仔細
你仔细听	你仔細聽
你仔细想想	你仔細想想
你仔细看	你仔細看
你仔细看看	你仔細看看
你仔细观察	你仔細觀察
你他	你他
你他么	你他麼
你他么的	你他麼的
你他妈	你他媽
你他妈是不是	你他媽是不是
你他妈的	你他媽的
你他妈的是不是	你他媽的是不是
你他妈的说	你他媽的說
你他妈的说了	你他媽的說了
你他妈的说了什么	你他媽的說了什麼
你他妈的说什么	你他媽的說什麼
你付出了多少	你付出了多少
你付出多少	你付出多少
你付出的努力	你付出的努力
你以	你以
你以为	你以為
你以为你	你以為你
你以为你可以吗	你以為你可以嗎
你以为你是谁	你以為你是誰
你以为你是谁啊	你以為你是誰啊
你以为你真能	你以為你真能
你以为呢	你以為呢
你以为呢啊	你以為呢啊
你以为我	你以為我
你以为我会	你以為我會
你以为我会相信	你以為我會相信
你以为我会相信吗	你以為我會相信嗎
你以为我愿意	你以為我願意
你以前	你以前
你以前不是这样的	你以前不是這樣的
你以后	你以後
你以后的生活	你以後的生活
你们	你們
你们一家	你們一家
你们一家三口	你們一家三口
你们一样	你們一樣
你们一起	你們一起
你们三个	你們三個
你们不一样	你們不一樣
你们不介意吧	你們不介意吧
你们不会	你們不會
你们不合适	你們不合適
你们不懂	你們不懂
你们不用担心	你們不用擔心
你们不知道	你們不知道
你们不能	你們不能
你们不能在一起	你們不能在一起
你们不行	你們不行
你们不要过来	你們不要過來
你们不许	你們不許
你们不适合	你們不適合
你们不配	你們不配
你们两个	你們兩個
你们两个人	你們兩個人
你们两个人在一起	你們兩個人在一起
你们两个人的感情	你們兩個人的感情
你们丫的	你們丫的
你们中午	你們中午
你们中国	你們中國
你们中国人	你們中國人
你们中间	你們中間
你们为什么分手	你們為什麼分手
你们之间	你們之間
你们之间的关系	你們之間的關係
你们之间的感情	你們之間的感情
你们之间的爱情	你們之間的愛情
你们之间的矛盾	你們之間的矛盾
你们之间的缘分	你們之間的緣分
你们之间的距离	你們之間的距離
你们之间的问题	你們之間的問題
你们也	你們也
你们也一样	你們也一樣
你们也是	你們也是
你们也知道	你們也知道
你们买	你們買
你们了	你們了
你们二位	你們二位
你们人多	你們人多
你们人类	你們人類
你们什么	你們什麼
你们什么关系	你們什麼關係
你们什么关系啊	你們什麼關係啊
你们什么时候	你們什麼時候
你们什么时候放假	你們什麼時候放假
你们什么课	你們什麼課
你们仨	你們仨
你们会发现	你們會發現
你们会后悔的	你們會後悔的
你们会喜欢	你們會喜歡
你们信不信	你們信不信
你们信吗	你們信嗎
你们俩	你們倆
你们俩谁	你們倆誰
你们值得	你們值得
你们做	你們做
你们停下了	你們停下了
你们先吃	你們先吃
你们先玩	你們先玩
你们先离开吧	你們先離開吧
你们先聊	你們先聊
你们先走	你們先走
你们公司	你們公司
你们准备好了吗	你們準備好了嗎
你们几个	你們幾個
你们几个人	你們幾個人
你们几岁了	你們幾歲了
你们几点	你們幾點
你们凭什么	你們憑什麼
你们出	你們出
你们出发了	你們出發了
你们出发了吗	你們出發了嗎
你们分开	你們分開
你们分手	你們分手
你们别吵了	你們別吵了
你们别害怕	你們別害怕
你们别笑	你們別笑
你们别笑了	你們別笑了
你们到哪了	你們到哪了
你们到哪啦	你們到哪啦
你们到家了吗	你們到家了嗎
你们加油	你們加油
你们卡吗	你們卡嗎
你们厂	你們廠
你们去	你們去
你们去哪	你們去哪
你们去看	你們去看
你们去看看	你們去看看
你们去那	你們去那
你们又不会	你們又不會
你们又去了	你們又去了
你们发现	你們發現
你们发现了吗	你們發現了嗎
你们只好	你們只好
你们只要	你們只要
你们可以	你們可以
你们可以看到	你們可以看到
你们可以试试	你們可以試試
你们可爱的小编	你們可愛的小編
你们可真	你們可真
你们可真行	你們可真行
你们可真行呀	你們可真行呀
你们可真行啊	你們可真行啊
你们可知道	你們可知道
你们可能不知道	你們可能不知道
你们吃	你們吃
你们吃吧	你們吃吧
你们吃饭	你們吃飯
你们同意吗	你們同意嗎
你们名字	你們名字
你们听	你們聽
你们听我说	你們聽我說
你们吵架	你們吵架
你们呢	你們呢
你们咋不	你們咋不
你们咋不说	你們咋不說
你们咋不说话	你們咋不說話
你们咋了	你們咋了
你们咋办	你們咋辦
你们咋啦	你們咋啦
你们咋在	你們咋在
你们咋在这	你們咋在這
你们咋在这儿	你們咋在這兒
你们咋在这呢	你們咋在這呢
你们咋过	你們咋過
你们和	你們和
你们和我们	你們和我們
你们哪边	你們哪邊
你们啊	你們啊
你们啥时候	你們啥時候
你们啦	你們啦
你们喜不喜欢	你們喜不喜歡
你们喜欢	你們喜歡
你们喜欢什么	你們喜歡什麼
你们回家	你們回家
你们回来	你們回來
你们国家	你們國家
你们在	你們在
你们在一起	你們在一起
你们在一起吧	你們在一起吧
你们在一起时	你們在一起時
你们在做什么	你們在做什麼
你们在哪	你們在哪
你们在哪儿	你們在哪兒
你们在哪呢	你們在哪呢
你们在哪里	你們在哪裡
你们在干什么	你們在幹什麼
你们在干嘛	你們在幹嘛
你们在聊什么	你們在聊什麼
你们在说什么	你們在說什麼
你们在那	你們在那
你们在那里	你們在那裡
你们坐	你們坐
你们坐标	你們座標
你们城里人真会玩	你們城裡人真會玩
你们多	你們多
你们多大	你們多大
你们多大了	你們多大了
你们女人	你們女人
你们女孩子	你們女孩子
你们女生	你們女生
你们好	你們好
你们好吗	你們好嗎
你们好呀	你們好呀
你们好啊	你們好啊
你们好好玩	你們好好玩
你们学	你們學
你们学习	你們學習
你们学会了吗	你們學會了嗎
你们学校	你們學校
你们学校的	你們學校的
你们定	你們定
你们家	你們家
你们家呢	你們家呢
你们家里	你們家裡
你们家里面	你們家裡面
你们宿舍的	你們宿舍的
你们就	你們就
你们就会发现	你們就會發現
你们就是	你們就是
你们就照着	你們就照著
你们居然	你們居然
你们居然还	你們居然還
你们已经分手	你們已經分手
你们带路	你們帶路
你们帮助	你們幫助
你们帮助了	你們幫助了
你们干什么	你們幹什麼
你们干嘛	你們幹嘛
你们年轻	你們年輕
你们年轻人	你們年輕人
你们幸福	你們幸福
你们应该	你們應該
你们应该知道	你們應該知道
你们店	你們店
你们开心	你們開心
你们开心就好	你們開心就好
你们当中	你們當中
你们很好	你們很好
你们得了吧	你們得了吧
你们心中	你們心中
你们心目中	你們心目中
你们心里	你們心裡
你们忙	你們忙
你们快来	你們快來
你们快点	你們快點
你们快走	你們快走
你们怎么想	你們怎麼想
你们怎么样	你們怎麼樣
你们怎么看	你們怎麼看
你们怎么看待	你們怎麼看待
你们怎么评价	你們怎麼評價
你们怕不怕	你們怕不怕
你们想多了	你們想多了
你们想干什么	你們想幹什麼
你们想必知道	你們想必知道
你们想想	你們想想
你们想过没有	你們想過沒有
你们愿意	你們願意
你们慢慢吃	你們慢慢吃
你们懂	你們懂
你们懂什么	你們懂什麼
你们懂得	你們懂得
你们懂的	你們懂的
你们成功	你們成功
你们所有人	你們所有人
你们手中	你們手中
你们手里	你們手裡
你们才是	你們才是
你们打	你們打
你们找谁	你們找誰
你们找谁啊	你們找誰啊
你们把	你們把
你们拦得住	你們攔得住
你们拦得住吗	你們攔得住嗎
你们支持	你們支持
你们支持吗	你們支持嗎
你们放假了	你們放假了
你们放假了吗	你們放假了嗎
你们放心	你們放心
你们放心吧	你們放心吧
你们敢	你們敢
你们明白	你們明白
你们是	你們是
你们是不是	你們是不是
你们是不是蠢	你們是不是蠢
你们是不是蠢蛋	你們是不是蠢蛋
你们是不是蠢货	你們是不是蠢貨
你们是不是蠢逼	你們是不是蠢逼
你们是什么	你們是什麼
你们是什么人	你們是什麼人
你们是什么关系	你們是什麼關係
你们是什么关系啊	你們是什麼關係啊
你们是否喜欢	你們是否喜歡
你们是否还记得	你們是否還記得
你们是朋友	你們是朋友
你们是真爱	你們是真愛
你们是虫子	你們是蟲子
你们是认真的吗	你們是認真的嗎
你们是谁	你們是誰
你们是魔鬼吗	你們是魔鬼嗎
你们更喜欢谁	你們更喜歡誰
你们最喜欢谁	你們最喜歡誰
你们最美	你們最美
你们有一个好	你們有一個好
你们有些是	你們有些是
你们有什么想法	你們有什麼想法
你们有没有	你們有沒有
你们有没有发现	你們有沒有發現
你们有没有吃过	你們有沒有吃過
你们有没有想过	你們有沒有想過
你们有没有注意到	你們有沒有注意到
你们有没有看过	你們有沒有看過
你们有没有见过	你們有沒有見過
你们有没有觉得	你們有沒有覺得
你们期待吗	你們期待嗎
你们村	你們村
你们来	你們來
你们来了	你們來了
你们来啦	你們來啦
你们来看	你們來看
你们来看看	你們來看看
你们每个人	你們每個人
你们没了	你們沒了
你们没有	你們沒有
你们没有资格	你們沒有資格
你们没课	你們沒課
你们没资格	你們沒資格
你们烦不烦	你們煩不煩
你们照着	你們照著
你们猜	你們猜
你们猜猜	你們猜猜
你们玩	你們玩
你们玩儿	你們玩兒
你们玩吧	你們玩吧
你们班	你們班
你们班级	你們班級
你们理解	你們理解
你们用	你們用
你们男人	你們男人
你们男生	你們男生
你们画的	你們畫的
你们画的画	你們畫的畫
你们的	你們的
你们的世界	你們的世界
你们的东西	你們的東西
你们的事	你們的事
你们的事业	你們的事業
你们的产品	你們的產品
你们的人	你們的人
你们的人生	你們的人生
你们的付出	你們的付出
你们的优势	你們的優勢
你们的信任	你們的信任
你们的健康	你們的健康
你们的儿子	你們的兒子
你们的关注	你們的關注
你们的关系	你們的關係
你们的到来	你們的到來
你们的努力	你們的努力
你们的勇气	你們的勇氣
你们的友谊	你們的友誼
你们的名字	你們的名字
你们的喜欢	你們的喜歡
你们的坚持	你們的堅持
你们的女儿	你們的女兒
你们的女神	你們的女神
你们的好	你們的好
你们的妈妈	你們的媽媽
你们的婚姻	你們的婚姻
你们的孩子	你們的孩子
你们的安全	你們的安全
你们的家	你們的家
你们的家乡	你們的家鄉
你们的家人	你們的家人
你们的家庭	你們的家庭
你们的工作	你們的工作
你们的幸福	你們的幸福
你们的心	你們的心
你们的心情	你們的心情
你们的心里	你們的心裡
你们的恋情	你們的戀情
你们的情感	你們的情感
你们的情绪	你們的情緒
你们的想法	你們的想法
你们的意见	你們的意見
你们的感情	你們的感情
你们的手	你們的手
你们的手机	你們的手機
你们的支持	你們的支持
你们的故事	你們的故事
你们的日子	你們的日子
你们的朋友	你們的朋友
你们的未来	你們的未來
你们的梦想	你們的夢想
你们的热情	你們的熱情
你们的爱	你們的愛
你们的爱心	你們的愛心
你们的爱情	你們的愛情
你们的父亲	你們的父親
你们的父母	你們的父母
你们的甜蜜	你們的甜蜜
你们的生活	你們的生活
你们的留言	你們的留言
你们的相遇	你們的相遇
你们的看法	你們的看法
你们的矛盾	你們的矛盾
你们的神	你們的神
你们的纪念日	你們的紀念日
你们的缘分	你們的緣分
你们的老公	你們的老公
你们的老婆	你們的老婆
你们的老师	你們的老師
你们的聊天	你們的聊天
你们的脸	你們的臉
你们的评论	你們的評論
你们的话	你們的話
你们的财运	你們的財運
你们的身体	你們的身體
你们的身影	你們的身影
你们的身边	你們的身邊
你们的选择	你們的選擇
你们的钱	你們的錢
你们的问题	你們的問題
你们的阅读	你們的閱讀
你们的青春	你們的青春
你们的鼓励	你們的鼓勵
你们相信	你們相信
你们相处	你們相處
你们相爱	你們相愛
你们相遇	你們相遇
你们看	你們看
你们看到后	你們看到後
你们看吧	你們看吧
你们看看	你們看看
你们看着办	你們看著辦
你们看着办吧	你們看著辦吧
你们看这	你們看這
你们看这儿	你們看這兒
你们看这里	你們看這裡
你们真	你們真
你们真好	你們真好
你们真是	你們真是
你们真的	你們真的
你们眼中	你們眼中
你们眼里	你們眼裡
你们知不知道	你們知不知道
你们知道	你們知道
你们知道吗	你們知道嗎
你们知道吧	你們知道吧
你们知道的	你們知道的
你们离婚	你們離婚
你们离开	你們離開
你们笑	你們笑
你们笑什么	你們笑什麼
你们组	你們組
你们终于发现	你們終於發現
你们终于发现了	你們終於發現了
你们结婚	你們結婚
你们结婚了	你們結婚了
你们给我等着	你們給我等著
你们绝对想不到	你們絕對想不到
你们继续	你們繼續
你们老公	你們老公
你们考试	你們考試
你们聊	你們聊
你们聊天	你們聊天
你们自己	你們自己
你们自己决定	你們自己決定
你们自己看	你們自己看
你们自己看吧	你們自己看吧
你们自己看着办	你們自己看著辦
你们自己看着办吧	你們自己看著辦吧
你们自然	你們自然
你们自然清楚	你們自然清楚
你们至于吗	你們至於嗎
你们被包围了	你們被包圍了
你们要	你們要
你们要什么	你們要什麼
你们要小心	你們要小心
你们要干什么	你們要幹什麼
你们要干什么呀	你們要幹什麼呀
你们要干什么啊	你們要幹什麼啊
你们要干啥	你們要幹啥
你们要干啥呀	你們要幹啥呀
你们要干啥啊	你們要幹啥啊
你们要找	你們要找
你们要找的	你們要找的
